% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=1114998, Sat Mar  9 12:20:48 2024, <python>{}</python>
1 8 0.5033299255215098 1.0000375007031337 -1024.0 -1.0240000000000000e+03 -128.0 -32.0   
2 16 0.4931852164794121 1.3225616265533977 -1024.0 -5.1200000000000000e+02 -128.0 -128.0   
3 24 0.5000586041845423 1.4873693237376866 -1024.0 -1.0240000000000000e+03 -256.0 -32.0   
4 32 0.525784495747347 1.797867579895253 -1024.0 -1.0240000000000000e+03 -256.0 -128.0   
5 40 0.7206457525285839 1.9990701714937948 -2048.0 -2.0480000000000000e+03 -1024.0 -256.0   
6 48 0.7306687320499783 2.5019253052846064 -2048.0 -2.0480000000000000e+03 -512.0 -64.0   
7 56 0.7031568372102521 2.4086549257316117 -2048.0 -2.0480000000000000e+03 -512.0 -256.0   
8 64 0.6297074466415518 2.3523028829085435 -2048.0 -2.0480000000000000e+03 -1024.0 -512.0   
9 72 0.5675870289594602 2.4461120717145395 -4096.0 -4.0960000000000000e+03 -512.0 -256.0   
10 80 0.4915920629928668 2.6644308456890804 -4096.0 -4.0960000000000000e+03 -1024.0 -512.0   
11 88 0.42994689732239333 2.469482426745232 -4096.0 -2.0480000000000000e+03 -2048.0 -512.0   
12 96 0.40600652730560965 2.36608098925104 -4096.0 -2.0480000000000000e+03 -1024.0 -1024.0   
13 104 0.3501152890917966 2.398110092992101 -4096.0 -2.0480000000000000e+03 -1024.0 -512.0   
14 112 0.2900844789518928 2.4995459283713397 -4096.0 -2.0480000000000000e+03 -512.0 -256.0   
15 120 0.28385663839333564 2.5094485758310747 -4096.0 -4.0960000000000000e+03 -2048.0 -512.0   
16 128 0.22742471283253665 3.0443979020298366 -4096.0 -2.0480000000000000e+03 -1024.0 -512.0   
17 136 0.23959190496877925 3.497651281366563 -4096.0 -4.0960000000000000e+03 -2048.0 -512.0   
18 144 0.2190179402758284 3.5357789657485053 -4096.0 -2.0480000000000000e+03 -1024.0 -512.0   
19 152 0.2123090986826095 3.4078310387316115 -4096.0 -2.0480000000000000e+03 -1024.0 -1024.0   
20 160 0.19449047026715124 3.446111981990877 -4096.0 -4.0960000000000000e+03 -2048.0 -128.0   
21 168 0.19025137894190725 3.5974091160360118 -4096.0 -4.0960000000000000e+03 -1024.0 -1024.0   
22 176 0.24267634812255834 3.754267729755961 -4096.0 -4.0960000000000000e+03 -2048.0 -1024.0   
23 184 0.24235125193333212 4.702983049911802 -4096.0 -2.0480000000000000e+03 -2048.0 -512.0   
24 192 0.2977392679457539 4.497707577721489 -4096.0 -2.0480000000000000e+03 -1024.0 -1024.0   
25 200 0.2738880579793924 5.760079754491324 -4096.0 -2.0480000000000000e+03 -2048.0 -512.0   
26 208 0.2716424043919318 6.595926956978144 -4096.0 -4.0960000000000000e+03 -2048.0 -1024.0   
27 216 0.2549163527036962 6.782765824148063 -4096.0 -2.0480000000000000e+03 -1024.0 -1024.0   
28 224 0.26195757873015546 6.714591199903797 -4096.0 -4.0960000000000000e+03 -2048.0 -256.0   
29 232 0.30169908110887206 6.497716831629985 -4096.0 -4.0960000000000000e+03 -2048.0 -1024.0   
30 240 0.29947223993937183 6.036001980233156 -4096.0 -4.0960000000000000e+03 -2048.0 -512.0   
31 248 0.31547756902035967 6.298016482349996 -4096.0 -2.0480000000000000e+03 -1024.0 -256.0   
32 256 0.3569089510167105 6.621210714295224 -4096.0 -2.0480000000000000e+03 -1024.0 -256.0   
33 264 0.3501479024214425 5.9560974096357056 -4096.0 -2.0480000000000000e+03 -1024.0 -256.0   
34 272 0.3512385598413071 5.800847894783778 -4096.0 -2.0480000000000000e+03 -1024.0 -1024.0   
35 280 0.3323187530992491 6.193967799977421 -4096.0 -4.0960000000000000e+03 -2048.0 -1024.0   
36 288 0.3469339823335119 6.987451261176053 -4096.0 -4.0960000000000000e+03 -2048.0 -512.0   
37 296 0.372976166383479 7.771445285186961 -4096.0 -4.0960000000000000e+03 -2048.0 -512.0   
38 304 0.4303197294535203 9.287613050395526 -4096.0 -2.0480000000000000e+03 -1024.0 -256.0   
39 312 0.4471206163105756 8.603554066592874 -4096.0 -4.0960000000000000e+03 -1024.0 -512.0   
40 320 0.4341428145253218 8.193912358728534 -4096.0 -2.0480000000000000e+03 -1024.0 -128.0   
41 328 0.3833364838349368 8.07970243531274 -4096.0 -2.0480000000000000e+03 -1024.0 -512.0   
42 336 0.39620585031994154 7.323718160853769 -4096.0 -4.0960000000000000e+03 -1024.0 -256.0   
43 344 0.35612956857123823 7.530069104079211 -4096.0 -4.0960000000000000e+03 -2048.0 -1024.0   
44 352 0.4052820238566784 7.508166697281499 -4096.0 -4.0960000000000000e+03 -1024.0 -512.0   
45 360 0.45310487605754624 7.299999004391859 -4096.0 -2.0480000000000000e+03 -1024.0 -256.0   
46 368 0.4572608079282133 7.298360466464398 -4096.0 -2.0480000000000000e+03 -1024.0 -256.0   
47 376 0.5350187318741018 8.333982598324331 -4096.0 -4.0960000000000000e+03 -1024.0 -512.0   
48 384 0.4576768394831917 8.855431314966786 -4096.0 -2.0480000000000000e+03 -2048.0 -512.0   
49 392 0.42831376865516985 10.477599959992169 -4096.0 -4.0960000000000000e+03 -1024.0 -512.0   
50 400 0.42155733634735154 11.210715449392413 -4096.0 -2.0480000000000000e+03 -1024.0 -128.0   
51 408 0.40517177032805035 11.816256311764784 -4096.0 -2.0480000000000000e+03 -1024.0 -128.0   
